Type,Prompt,Correct Answer,Choices
mcq,"Which term means: ""A Baroque shorthand notation system using numbers (figures) placed below a written bass line to indicate the chords that the Basso Continuo player ...""?","figured bass","orchestral resources | figured bass | compound duple time | woodblock"
mcq,"What is ""figures""?","The numbers written below the bass line in figured bass notation.","The numbers written below the bass line in figured bass notation. | A verse of poetry or song, particularly relevant when
  discussing Strophic form. | The general tonal quality of Tango music, which is often
  dominated by minor keys to convey melancholia. | A foundational rhythm of early Tango, characterized by a pattern of dotted quaver, semiquaver, and two quavers."
mcq,"Which term means: ""The numbers written below the bass line in figured bass notation.""?","figures","rhythmic cycles | Classical aesthetic | cipher notation | figures"
mcq,"What is ""film""?","A focus genre in Area of Study 7, requiring instrumental music composed to support visual action and narrative, spann...","A Baroque composer whose death in 1750 marks the widely accepted end of the Baroque period. | The arrangement or formal structure of a piece or musical
  section. | A focus genre in Area of Study 7, requiring instrumental music composed to support visual action and narrative, spann... | Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply w..."
mcq,"Which term means: ""A focus genre in Area of Study 7, requiring instrumental music composed to support visual action and narrative, spanning from early silent film acc...""?","film","color | film | coda | musical dialogue"
mcq,"What is ""filtering""?","A production effect (Music Production Technology) used to selectively alter sound frequencies, which is crucial in ED...","A production effect (Music Production Technology) used to selectively alter sound frequencies, which is crucial in ED... | Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass... | The structure and organization of musical sections. | A type of ornament or embellishment that must be
  recognized. They are a key Baroque feature sometimes used to sugge..."
mcq,"Which term means: ""A production effect (Music Production Technology) used to selectively alter sound frequencies, which is crucial in EDM to shape atmosphere and inte...""?","filtering","expansion of the orchestra | tonic | piece | filtering"
mcq,"What is ""first inversion""?","A chord where the third note of the triad is placed in the bass, commonly used in Classical functional harmony.","A large string instrument that became a standard fixture in the expanded Romantic orchestra for adding unique timbre ... | The neighborhood in New York City (NYC) where the Salsa genre emerged after WWII due to Latin American immigration. | A chord where the third note of the triad is placed in the bass, commonly used in Classical functional harmony. | A string technique involving plucking the strings rather
  than bowing, used for rhythmic or atmospheric effect."
mcq,"Which term means: ""A chord where the third note of the triad is placed in the bass, commonly used in Classical functional harmony.""?","first inversion","tonal foundation | consonant | expressive changes | first inversion"
mcq,"What is ""first movements""?","Typically the longest and most complex movement of a multi-movement work (like a symphony or concerto), often structu...","A term referring to minute changes in pitch, often linked
  to the expressive technique of Vibrato. | The overall shape, organization, or plan of a musical
  work, essential to all analytical areas. | Typically the longest and most complex movement of a multi-movement work (like a symphony or concerto), often structu... | The system that governs pitch relationships, used in the
  Baroque era and defining non-Western traditions, such as t..."
mcq,"Which term means: ""Typically the longest and most complex movement of a multi-movement work (like a symphony or concerto), often structured using sonata form.""?","first movements","first movements | triple metre | mouth organs | dense scoring"
mcq,"What is ""first subject""?","The initial thematic idea presented in the tonic key during the Exposition of sonata form.","The initial thematic idea presented in the tonic key during the Exposition of sonata form. | A percussion technique, specifically rapid repetition of a
  note, required for the syllabus. | A percussion technique, often executed on the timpani or
  snare drum. | Abbreviated name for Fr“d”ric Chopin, a central figure in Romantic piano music and virtuosity."
mcq,"Which term means: ""The initial thematic idea presented in the tonic key during the Exposition of sonata form.""?","first subject","saxophones | rhythmic/metrical device | first subject | contrabassoon"
mcq,"What is ""five-note""?","Describes the pentatonic scale, which is the predominant melodic basis for Chinese Sizhu music.","Describes the pentatonic scale, which is the predominant melodic basis for Chinese Sizhu music. | Fragmented or unstable rhythmic figures, contributing to a sense of instability. | Relating to the shared practices, identity, or social structure of a community. | The position of a chord where the root is in the bass,
  often used in the functional harmony of the Classical period."
mcq,"Which term means: ""Describes the pentatonic scale, which is the predominant melodic basis for Chinese Sizhu music.""?","five-note","chorus | specialized listening skills | five-note | Vivaldi: Spring"
mcq,"What is ""flutes""?","Woodwind instruments, included in the Baroque/Classical orchestra, and essential to the Silk and Bamboo ensemble (diz...","Woodwind instruments, included in the Baroque/Classical orchestra, and essential to the Silk and Bamboo ensemble (diz... | The technological process of incorporating recorded
  portions of music or sound into a composition. | The defining structural principle of the Baroque concerto,
  based on the alternation of the recurring orchestral rit... | The Roman numerals representing a Perfect Cadence
  (Dominant to Tonic)."
mcq,"Which term means: ""Woodwind instruments, included in the Baroque/Classical orchestra, and essential to the Silk and Bamboo ensemble (dizi, bansuri).""?","flutes","chromatic harmony | fortepiano | flutes | Polyphony"
mcq,"What is ""Focus Works""?","The specific musical compositions prescribed by the syllabus (e.g., Vivaldi Spring, Handel Concerto Grosso) used to d...","The dynamic marking for piano (quiet). | A texture featuring a single, unaccompanied melodic line [57. Moog: A brand of electronic synthesizer, cited as a com... | The specific musical compositions prescribed by the syllabus (e.g., Vivaldi Spring, Handel Concerto Grosso) used to d... | A central figure in Romantic piano music, known for his lyrical and harmonically rich works."
mcq,"Which term means: ""The specific musical compositions prescribed by the syllabus (e.g., Vivaldi Spring, Handel Concerto Grosso) used to demonstrate and teach the featu...""?","Focus Works","embellishments | hook | piano | Focus Works"
mcq,"What is ""folk dances""?","Traditional dances whose rhythmic patterns are incorporated into larger compositions, often for nationalist purposes ...","Melodic movement using stepwise movement (conjunct
  motion, like a scale). | An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-... | The specific number of strings on the Chinese bowed
  fiddle, the erhu. | Traditional dances whose rhythmic patterns are incorporated into larger compositions, often for nationalist purposes ..."
mcq,"Which term means: ""Traditional dances whose rhythmic patterns are incorporated into larger compositions, often for nationalist purposes (e.g., Polka in Smetana’s Vlta...""?","folk dances","eight parts | Instrumental Solos | folk dances | harmonizing"
mcq,"What is ""folk songs""?","Traditional melodies incorporated into larger compositions, often for nationalist purposes or used as thematic materi...","Traditional melodies incorporated into larger compositions, often for nationalist purposes or used as thematic materi... | The characteristic tone or color (Timbre) of voices
  and instruments. | The repeating rhythmic pattern played by the clavé
  in Salsa, which forms the son clavé. | The characteristic nature of a recurring theme (leitmotif)
  that links it to a specific character or idea."
mcq,"Which term means: ""Traditional melodies incorporated into larger compositions, often for nationalist purposes or used as thematic material (e.g., Copland used the Sha...""?","folk songs","time a movie is set | folk songs | solo line | off-beats"
mcq,"What is ""formal clarity""?","The emphasis on clear, recognizable, and predictable musical structure, a defining characteristic of the Classical ae...","A common transposing instrument in the orchestra, requiring candidates to understand transposition to concert pitch. | New York City, specifically its urban geography, is the
  location where Salsa emerged (in East Harlem). | The emphasis on clear, recognizable, and predictable musical structure, a defining characteristic of the Classical ae... | The process of adding complexity, detail, or ornamentation to a melodic line or harmonic structure, essential to Bass..."
mcq,"Which term means: ""The emphasis on clear, recognizable, and predictable musical structure, a defining characteristic of the Classical aesthetic.""?","formal clarity","strophe | glissando | formal clarity | digital streaming platforms"
mcq,"What is ""formal conductors""?","Leaders of an orchestra who became necessary in the Romantic period due to the large scale and complex scores of the ...","A standard metre (e.g., 4/4 time) used in Western and
  global music. | Leaders of an orchestra who became necessary in the Romantic period due to the large scale and complex scores of the ... | A fixed rhythmic structure, referring specifically to the tāla
  in Hindustani classical music. | An intense mood conveyed by musical features such as fast tempos, virtuosic passages, or syncopation."
mcq,"Which term means: ""Leaders of an orchestra who became necessary in the Romantic period due to the large scale and complex scores of the expanded orchestra.""?","formal conductors","formal conductors | Ravi Shankar | Rhythmic Flexibility | Four-Part Homophony"
mcq,"What is ""forte""?","Italian term for loud.","The repeating rhythmic pattern played by the clavé
  in Salsa, which forms the son clavé. | The key or modal areas around which a piece is organized
  (e.g., the Tonic). | Italian term for loud. | The conversational exchange of thematic material between instruments in chamber music, highly valued in the Classical..."
mcq,"Which term means: ""Italian term for loud.""?","forte","melody and accompaniment | question | forte | emotional expression"
mcq,"What is ""fortepiano""?","The early piano that replaced the harpsichord in the Classical era, enabling the frequent use of graded dynamics (cre...","Intervals smaller than a semitone (microtones), necessary
  for the performance of the maqām (melodic mode) in Arab m... | A definition of Harmony. | A key technological invention applied to brass instruments
  in the Romantic period, allowing them to play the full c... | The early piano that replaced the harpsichord in the Classical era, enabling the frequent use of graded dynamics (cre..."
mcq,"Which term means: ""The early piano that replaced the harpsichord in the Classical era, enabling the frequent use of graded dynamics (crescendo/diminuendo).""?","fortepiano","song-like | fortepiano | pop and rock instruments | volume levels"
mcq,"What is ""forward clave""?","The 3:2 pattern of the son clavé, a fundamental rhythmic pattern in Salsa music.","A hollowed component that forms the resonator body of string instruments like the sītār. | Synonymous with homophonic texture, where a clear melodic line is supported by subordinate harmony. | Sections (short and long) into which the beats (mātrās)
  of the rhythmic cycle (tāla) are divided in Hindustani clas... | The 3:2 pattern of the son clavé, a fundamental rhythmic pattern in Salsa music."
mcq,"Which term means: ""The 3:2 pattern of the son clavé, a fundamental rhythmic pattern in Salsa music.""?","forward clave","fff | intro | forward clave | labeled melodies"
mcq,"What is ""four sharps or flats""?","The maximum complexity of key signature required for students to read and interpret in Classical and Romantic scores.","Electronic instruments used to generate a wide range of
  timbres and manipulate pitch, essential to EDM, Game Music,... | The core musical element concerning volume levels and expressive changes throughout a piece. | The maximum complexity of key signature required for students to read and interpret in Classical and Romantic scores. | Richard Wagner’s concept of the leitmotif
  originated as an operatic idea before Max Steiner brought it into cinema."
mcq,"Which term means: ""The maximum complexity of key signature required for students to read and interpret in Classical and Romantic scores.""?","four sharps or flats","NYC | four sharps or flats | neumes | p"
mcq,"What is ""Four-Part Homophony""?","A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic ...","This compositional technique is specifically defined as Hocketing
  in relation to computer game music. | The area in a theatre where the instrumentalists for a
  musical typically perform. | A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic ... | The period roughly spanning c. 1810–1900,
  characterized by intensive emotional expression, expansive structural
  f..."
mcq,"Which term means: ""A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic line.""?","Four-Part Homophony","rallentando (slowing down) | mordents | Four-Part Homophony | structural coherence"
mcq,"What is ""four-to-the-floor""?","The driving rhythmic pattern in EDM where the kick drum strikes consistently on every beat in a 4/4 bar, providing co...","The driving rhythmic pattern in EDM where the kick drum strikes consistently on every beat in a 4/4 bar, providing co... | The first main section of sonata form, where the principal thematic ideas (first subject and second subject) are pres... | A key social and political movement of the Romantic era,
  focusing on the expression of a distinct national identity... | Refers to music (like Salsa) that relies heavily on one
  key/tonality, often using simple harmonic progressions."
mcq,"Which term means: ""The driving rhythmic pattern in EDM where the kick drum strikes consistently on every beat in a 4/4 bar, providing continuous rhythmic momentum.""?","four-to-the-floor","four-to-the-floor | Hemiola | Episodes | Rāga khamāj"
mcq,"What is ""four-to-the-floor rhythm""?","Explicit description of the rhythmic pattern.","Explicit description of the rhythmic pattern. | Abbreviated name for Felix Mendelssohn. | See loop; short, repeated rhythmic patterns,
  fundamental to EDM. | Refers to the emphasized beat (ban) in the Chinese banyan
  metrical system."
mcq,"Which term means: ""Explicit description of the rhythmic pattern.""?","four-to-the-floor rhythm","four-to-the-floor rhythm | F-777 | tutti | primary chords"
mcq,"What is ""fragmented""?","Melodic themes or rhythmic patterns broken into short, incomplete pieces, notably used in the Development section of ...","Traditional dances whose rhythmic patterns are incorporated into larger compositions, often for nationalist purposes ... | Melodic themes or rhythmic patterns broken into short, incomplete pieces, notably used in the Development section of ... | A flexible tempo used for expressive phrasing, where the
  rhythm is subtly varied; a key feature of the Romantic sty... | Abbreviated form of computer game music."
mcq,"Which term means: ""Melodic themes or rhythmic patterns broken into short, incomplete pieces, notably used in the Development section of sonata form or in tense, unsta...""?","fragmented","Mvt. 1 | rhythmic core | fragmented | Recapitulation"
mcq,"What is ""Franz Liszt""?","A composer and virtuoso pianist associated with the Romantic period.","A composer and virtuoso pianist associated with the Romantic period. | A contemporary composer of Art Song, whose Chanting to Paradise is a starting point for AOS 4. | The smallest interval in Western music, used as a
  reference when discussing the quarter-tones (microtones) found in... | Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass..."
mcq,"Which term means: ""A composer and virtuoso pianist associated with the Romantic period.""?","Franz Liszt","Franz Liszt | Classical Music | minor (typically solemn or melancholy) | Vibrato"
mcq,"What is ""Fr“d”ric Chopin""?","A central figure in Romantic piano music, known for his lyrical and harmonically rich works.","A central figure in Romantic piano music, known for his lyrical and harmonically rich works. | Short, recurring pieces of melody used in motivic construction. | A major sacred vocal form in the Baroque and Classical periods, serving a ritualistic function. | A major Classical chamber music ensemble consisting of two
  violins, viola, and cello (one player per part)."
mcq,"Which term means: ""A central figure in Romantic piano music, known for his lyrical and harmonically rich works.""?","Fr“d”ric Chopin","Fr“d”ric Chopin | stylistic | conjunct/scalic | symphonies"
mcq,"What is ""French overture""?","A standard Baroque structure featuring a characteristic slow, majestic opening section (with dotted rhythms) followed...","Repeated musical patterns generated or controlled
  digitally, fundamental to EDM composition. | A standard Baroque structure featuring a characteristic slow, majestic opening section (with dotted rhythms) followed... | Adjective describing music or passages that require
  advanced instrumental skill, often associated with virtuosity. | Cited as the first full-length film to use synchronized sound (though only for the score, not dialogue)."
mcq,"Which term means: ""A standard Baroque structure featuring a characteristic slow, majestic opening section (with dotted rhythms) followed immediately by a faster main ...""?","French overture","French overture | syncopated rhythms (sincopa) | climax | minor keys"
mcq,"What is ""frets""?","Thin metal strips embedded in the fingerboard of string instruments (like the pipa or guitar).","The Focus Work for Area of Study 3 (Romantic Music), a
  programmatic symphonic poem used to exemplify Nationalism an... | A rhythmic element or timing found in musical delivery,
  sometimes related to the syncopated timing of Tango melody. | Thin metal strips embedded in the fingerboard of string instruments (like the pipa or guitar). | The Roman numerals representing a Perfect Cadence
  (Dominant to Tonic)."
mcq,"Which term means: ""Thin metal strips embedded in the fingerboard of string instruments (like the pipa or guitar).""?","frets","Tango Tonality | rhythmic intensity | tension management | frets"
mcq,"What is ""fugal""?","Describing a contrapuntal texture involving imitation, typical of the faster main section of the French Overture or M...","Describing a contrapuntal texture involving imitation, typical of the faster main section of the French Overture or M... | Cited as the first full-length film to use synchronized sound (though only for the score, not dialogue). | The application of one note per syllable of text. | The characteristic sound quality of different voice types
  (soprano, alto, tenor, bass)."
mcq,"Which term means: ""Describing a contrapuntal texture involving imitation, typical of the faster main section of the French Overture or Movement 2 of Handel’s Concerto...""?","fugal","tonal output. c. 1600–1750 | fugal | harpsichord | obsolete terminology"
mcq,"What is ""fugal style""?","Synonymous with fugal or fugue.","Synonymous with fugal or fugue. | Scales based on church modes (or similar patterns), used in Romantic and modern music (Art Song, Film) for specific a... | A bowed lute used as a melodic instrument in Hindustani
  classical music. | Specifically refers to the Tamb“r” in Hindustani
  classical music, whose sole purpose is to provide the drone."
mcq,"Which term means: ""Synonymous with fugal or fugue.""?","fugal style","fugal style | repeated notes | dramatic events | suite form"
mcq,"What is ""fugue""?","A highly structured Baroque contrapuntal form where a main theme (subject) is successively stated and imitated by dif...","Rare occurrences, such as the finding of chromatic harmony in Baroque music. | A digital streaming platform recommended for revision and
  finding further listening examples across all Areas of St... | A highly structured Baroque contrapuntal form where a main theme (subject) is successively stated and imitated by dif... | Refers to the established performance practices,
  particularly in the Baroque era, where dynamics were often underst..."
mcq,"Which term means: ""A highly structured Baroque contrapuntal form where a main theme (subject) is successively stated and imitated by different parts.""?","fugue","fugue | musical mood | fanfares | song-like"
mcq,"What is ""full texture""?","A dense sound achieved by using many instruments simultaneously, often contrasted sharply with the thinner texture of...","The foundational role of the string section (violins,
  violas, cellos) in the Baroque orchestra. | A dense sound achieved by using many instruments simultaneously, often contrasted sharply with the thinner texture of... | Refers to the use of numbers 1–7 to represent scale
  degrees in notation systems like cipher notation, commonly used... | Roman numeral representation of the Imperfect Cadence (a cadence ending on the dominant chord V), preceded by chord I..."
mcq,"Which term means: ""A dense sound achieved by using many instruments simultaneously, often contrasted sharply with the thinner texture of a solo section.""?","full texture","instrumental and vocal techniques | valve | themes | full texture"
mcq,"What is ""functional""?","Describes harmony where chords have a clear, predictable role in the musical progression (e.g., leading purposefully ...","The characteristic linear sequence of pitches (melody)
  forms the musical identity. Identity can also be shaped by n... | The paramount aesthetic goal of Romantic music, characterized by lyrical melodies, intense dynamics, and chromatic ha... | A major sacred vocal form in the Baroque and Classical periods, serving a ritualistic function. | Describes harmony where chords have a clear, predictable role in the musical progression (e.g., leading purposefully ..."
mcq,"Which term means: ""Describes harmony where chords have a clear, predictable role in the musical progression (e.g., leading purposefully to a cadence).""?","functional","sustained | DECORATED | song cycles | functional"
mcq,"What is ""fundamental stylistic markers""?","Core characteristics that explicitly define a musical period or style.","Refers to the emphasized beat (ban) in the Chinese banyan
  metrical system. | Instrumental music that tells a story, describes a
  specific scene, or suggests extra-musical ideas without using wo... | The high level of emotion conveyed, often enhanced by dynamics, ornamentation, or techniques like glissando in Tango. | Core characteristics that explicitly define a musical period or style."
mcq,"Which term means: ""Core characteristics that explicitly define a musical period or style.""?","fundamental stylistic markers","octaves | speed | fundamental stylistic markers | puppetry"
mcq,"What is ""game music""?","Abbreviated form of computer game music.","The pattern of beats, accents, and durations that drive
  the music forward. | The defining dynamic feature of the Baroque period (c.
  1600–1750), characterized by sudden, abrupt changes from lou... | Abbreviated form of computer game music. | The highest standard female vocal classification."
mcq,"Which term means: ""Abbreviated form of computer game music.""?","game music","mp | Trumpets in B flat | sincopa | game music"
mcq,"What is ""gat""?","In Hindustani Classical Music, the fixed composition section following the improvisatory ālāp and j“r. The tabl” (dru...","The vertical stacking of pitches (harmony) that supports or contrasts the melody. | Harmony or notes that are unstable, clashing, or tense, used deliberately to increase emotional impact and dramatic t... | Abbreviation for Movement 1. | In Hindustani Classical Music, the fixed composition section following the improvisatory ālāp and j“r. The tabl” (dru..."
mcq,"Which term means: ""In Hindustani Classical Music, the fixed composition section following the improvisatory ālāp and j“r. The tabl” (drums) enters here, establishing ...""?","gat","NYC | gat | key centre | musical conventions"
mcq,"What is ""George Frideric Handel""?","The Focus Composer for the Concerto Grosso genre in Area of Study 1 (Baroque Music).","The complex melodic scale or framework (five or more
  notes) used as the basis for melody and improvisation in Hindu... | The Focus Composer for the Concerto Grosso genre in Area of Study 1 (Baroque Music). | A definition of Harmony. | The setting of one syllable of text to many notes in the melody line, used for emotional extension, vocal brilliance,..."
mcq,"Which term means: ""The Focus Composer for the Concerto Grosso genre in Area of Study 1 (Baroque Music).""?","George Frideric Handel","development | polyphonic | Focus Works | George Frideric Handel"
mcq,"What is ""glissandi/portamenti""?","Plural, combined term for expressive slides between notes, valued in non-Western traditions and dramatic Romantic sco...","A large-scale choral work cited as an example of
  20th-century secular music using a religious text. | Used in the context of intervals, such as perfect
  intervals. | Rare occurrences, such as the finding of chromatic harmony in Baroque music. | Plural, combined term for expressive slides between notes, valued in non-Western traditions and dramatic Romantic sco..."
mcq,"Which term means: ""Plural, combined term for expressive slides between notes, valued in non-Western traditions and dramatic Romantic scores.""?","glissandi/portamenti","neumes | musical identity | glissandi/portamenti | imitation"
mcq,"What is ""glissando""?","An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-...","Plural use/repetition. | Describes harmony where chords have a clear, predictable role in the musical progression (e.g., leading purposefully ... | Mezzo forte is a standard dynamic marking, which
  candidates must recognize as part of the full range of volume leve... | An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-..."
mcq,"Which term means: ""An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-Western music (like the erhu o...""?","glissando","outro | sampling | vocal delivery | glissando"
mcq,"What is ""gourd""?","A hollowed component that forms the resonator body of string instruments like the sītār.","A harmonic device where a note from a previous chord is
  held over into the next chord, creating transient dissonanc... | A hollowed component that forms the resonator body of string instruments like the sītār. | These are intervals smaller than a standard Western
  semitone. The maqām system in Arab music is uniquely structured... | A chamber music ensemble consisting of piano, violin,
  and cello."
mcq,"Which term means: ""A hollowed component that forms the resonator body of string instruments like the sītār.""?","gourd","ud | gourd | chromatic enrichment | countersubject"
mcq,"What is ""grace notes""?","Small, ornamental notes typically referring to acciaccatura or appoggiatura.","A Latin American dance genre originating in East Harlem,
  New York City, characterized by rhythmic drive and the cla... | Small, ornamental notes typically referring to acciaccatura or appoggiatura. | The tonal framework based on major and minor scales, cemented in the Baroque era and used in all Western areas of study. | These are subtle variations or shifts in pitch involving
  intervals smaller than a semitone. Such changes are necess..."
mcq,"Which term means: ""Small, ornamental notes typically referring to acciaccatura or appoggiatura.""?","grace notes","Rhythmic Variety | stable | grace notes | intricate and complex patterns"
mcq,"What is ""graded dynamic changes""?","Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply w...","A texture featuring a single, unaccompanied melodic line [57. Moog: A brand of electronic synthesizer, cited as a com... | The emotional or narrative intensity conveyed by the music. | The rearrangement of the notes in a chord so that a note other than the root is in the bass, utilized by pianists in ... | Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply w..."
mcq,"Which term means: ""Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply with Baroque terraced dynamics.""?","graded dynamic changes","unsettling textures | ternary | chord inversions | graded dynamic changes"
mcq,"What is ""Graded Dynamics""?","The expressive use of gradual dynamic shifts, enabled by the fortepiano and central to the Classical period.","The available instrumental forces, which expanded
  significantly during the Romantic period, increasing pitch range,... | The expressive use of gradual dynamic shifts, enabled by the fortepiano and central to the Classical period. | An example piece suggested for listening to Arab Takht
  Ensembles, demonstrating the use of the maqām and heterophony. | Highly detailed rhythmic figures produced by improvising percussionists (e.g., the tablā in Hindustani music)."
mcq,"Which term means: ""The expressive use of gradual dynamic shifts, enabled by the fortepiano and central to the Classical period.""?","Graded Dynamics","descending | rhythmic loops | Graded Dynamics | notation systems"
mcq,"What is ""gradual dynamic changes""?","Synonymous with graded dynamics.","* The natural sequence of fundamental and overtone pitches produced by a vibrating body, which defined the pitch capa... | Synonymous with graded dynamics. | A compositional work by Libby Larsen used as a starting point for the study of Art Song in AOS 4. | Style emphasizing long, expressive melodies, particularly in Art Song."
mcq,"Which term means: ""Synonymous with graded dynamics.""?","gradual dynamic changes","gradual dynamic changes | fff | simple and compound time | precisely noted"
mcq,"What is ""grandeur""?","A sense of majesty or impressiveness conveyed by the music, often achieved through loud dynamics, wide pitch range, a...","A sense of majesty or impressiveness conveyed by the music, often achieved through loud dynamics, wide pitch range, a... | Plural of ritornello theme. | A fixed rhythmic structure, referring specifically to the tāla
  in Hindustani classical music. | A structure found in the Baroque period, often featuring
  the French Overture style, which begins with a slow, majes..."
mcq,"Which term means: ""A sense of majesty or impressiveness conveyed by the music, often achieved through loud dynamics, wide pitch range, and large orchestration (Romant...""?","grandeur","congas | grandeur | M“nganiy”rs | drone strings"
mcq,"What is ""graphic scores""?","A form of musical notation that utilizes non-traditional symbols, graphics, or images instead of standard staff notat...","A form of musical notation that utilizes non-traditional symbols, graphics, or images instead of standard staff notat... | The highest woodwind instrument, added during the Romantic
  period expansion of the orchestra. | A compositional tool, such as the sequence, used to expand or generate musical ideas within a section like the develo... | A highly characteristic rhythmic/metrical device involving a momentary shift in perceived accentuation (e.g., three b..."
mcq,"Which term means: ""A form of musical notation that utilizes non-traditional symbols, graphics, or images instead of standard staff notation.""?","graphic scores","graphic scores | notation systems | phrase structures | clarinets in A"
mcq,"What is ""ground bass""?","A continually repeated pattern, typically a short melodic or rhythmic figure in the bass, forming the structural foun...","Multiple performers (voices or instruments) playing or
  singing the exact same melodic line (or sometimes doubled in... | Main organizational units of musical form, such as those
  found in Tango structures (e.g., 2, 4, or 8-bar segments). | A film scoring technique where rhythmic patterns directly mirror the visual pacing of the action on screen, sometimes... | A continually repeated pattern, typically a short melodic or rhythmic figure in the bass, forming the structural foun..."
mcq,"Which term means: ""A continually repeated pattern, typically a short melodic or rhythmic figure in the bass, forming the structural foundation of a piece (a type of o...""?","ground bass","developmental device | numbers 1–7 | Dance tempos | ground bass"
mcq,"What is ""guru-shishya (teacher-disciple)""?","The traditional system of oral/aural transmission in Hindustani Classical Music, where knowledge is passed directly f...","The traditional system of oral/aural transmission in Hindustani Classical Music, where knowledge is passed directly f... | An electronic device used to sequence and trigger drum and percussion sounds, reliably providing the precise rhythmic... | Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply w... | How different notes relate to each other, governed by the Tonality
  or modal system."
mcq,"Which term means: ""The traditional system of oral/aural transmission in Hindustani Classical Music, where knowledge is passed directly from master to student through ...""?","guru-shishya (teacher-disciple)","military marches | guru-shishya (teacher-disciple) | polyrhythm | traditional national melodies"
mcq,"What is ""habanera rhythm""?","A foundational rhythm of early Tango, characterized by a pattern of dotted quaver, semiquaver, and two quavers.","A foundational rhythm of early Tango, characterized by a pattern of dotted quaver, semiquaver, and two quavers. | The inclusion of embellishments or decorative notes, which
  is a key Baroque feature. It is still vital for expressi... | A sustained or repeated low note, which forms the fundamental harmonic background (Drone Foundation) in highly modal ... | An alternative spelling for Sonata Form."
mcq,"Which term means: ""A foundational rhythm of early Tango, characterized by a pattern of dotted quaver, semiquaver, and two quavers.""?","habanera rhythm","first movements | modal frameworks | pedal note | habanera rhythm"
mcq,"What is ""&nbsp; The ** series""?","* The natural sequence of fundamental and overtone pitches produced by a vibrating body, which defined the pitch capa...","Melodic motion primarily using small intervals (steps)
  rather than large leaps, characteristic of scalic or conjunc... | Structural blueprints for instrumental music (e.g., Ritornello Form, Sonata Form, Fugue). | * The natural sequence of fundamental and overtone pitches produced by a vibrating body, which defined the pitch capa... | A sacred vocal form prominent in the Baroque and Classical
  eras. Unlike opera, it is not staged and is typically pe..."
mcq,"Which term means: ""* The natural sequence of fundamental and overtone pitches produced by a vibrating body, which defined the pitch capabilities of pre-valve brass in...""?","&nbsp; The ** series","&nbsp; The ** series | narrative effectiveness | Cross-Cultural Fusion | modal frameworks"
mcq,"What is ""harmonizing""?","Playing notes that sound consonant or pleasing together.","Playing notes that sound consonant or pleasing together. | Abbreviated term for Basso Continuo. | The rate at which music is performed (Tempo). | Small, ornamental notes typically referring to acciaccatura or appoggiatura."
mcq,"Which term means: ""Playing notes that sound consonant or pleasing together.""?","harmonizing","contrabassoon | maqām | decrescendo | harmonizing"
mcq,"What is ""Harmony""?","The vertical stacking of pitches that supports or contrasts the melody.","The standard system for writing music, required literacy
  for the syllabus, although some non-Western traditions use... | A specific transposing instrument for which candidates
  must understand notation and transposition. | The vertical stacking of pitches that supports or contrasts the melody. | The use of digital sequencing or coding, often related to
  the use of drum machines or synthesizers in EDM/Game music."
mcq,"Which term means: ""The vertical stacking of pitches that supports or contrasts the melody.""?","Harmony","Harmony | hook | shakers | modal scales"
mcq,"What is ""harp""?","A large string instrument that became a standard fixture in the expanded Romantic orchestra for adding unique timbre ...","A general term for techniques that manipulate pulse or
  accent, such as Hemiola. | Woodwind instruments sometimes used in Salsa ensembles
  (melodically) or in film scoring to portray a specific histo... | A large string instrument that became a standard fixture in the expanded Romantic orchestra for adding unique timbre ... | A rhythmic notation where three notes are played in the
  time normally occupied by two, used for rhythmic drive or v..."
mcq,"Which term means: ""A large string instrument that became a standard fixture in the expanded Romantic orchestra for adding unique timbre and color.""?","harp","harp | strophe | phrase structures | qanun"
mcq,"What is ""harpsichord""?","A keyboard instrument characteristic of the Baroque era, often forming the chordal instrument in the Basso Continuo. ...","Harmony that utilizes notes lying outside the defined major or minor scale, often employed dramatically in the Romant... | An Italian dynamic marking indicating a gradual increase in volume (gradually louder). | A keyboard instrument characteristic of the Baroque era, often forming the chordal instrument in the Basso Continuo. ... | Modern forms of the Tango, characterized by reliance on syncopated rhythms (sincopa)."
mcq,"Which term means: ""A keyboard instrument characteristic of the Baroque era, often forming the chordal instrument in the Basso Continuo. Its limitations contributed to...""?","harpsichord","dance form | waltz | harpsichord | Mickey Mousing"
